SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3378,122,3.61,68,2.01,9,0.27,77,2.28,33,0.98,1063,31.47,1866,55.24,217,6.42,1705,50.47,1673,49.53,76,2.23,441,12.91,616,18.04,2251,65.92,73,2.14,73,2.14,15,14.4,150,66.96
2016-17,Capital Region ESD 113,21,Lewis,21226,Adna School District,645,6,0.93,4,0.62,0,0,4,0.62,3,0.47,44,6.82,574,88.99,14,2.17,341,52.87,304,47.13,0,0,0,0,63,9.8,156,24.26,14,2.18,N<10,,17,15.5,28,75.68
2016-17,Educational Service District 101,22,Lincoln,22017,Almira School District,109,0,0,0,0,0,0,0,0,1,0.92,7,6.42,98,89.91,3,2.75,49,44.95,60,55.05,0,0,0,0,12,10.81,39,35.14,1,0.9,N<10,,9,20.5,11,91.67
2016-17,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2825,22,0.78,98,3.47,4,0.14,102,3.61,28,0.99,290,10.27,2311,81.81,72,2.55,1440,50.97,1385,49.03,9,0.32,67,2.38,313,11.13,738,26.24,104,3.7,18,0.64,18,15,121,79.08
2016-17,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5527,62,1.12,80,1.45,18,0.33,98,1.77,52,0.94,725,13.12,4252,76.93,338,6.12,2875,52.02,2652,47.98,41,0.74,232,4.16,719,12.9,1750,31.40,165,2.96,64,1.15,19,14.6,215,72.88
2016-17,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,665,4,0.6,7,1.05,0,0,7,1.05,1,0.15,39,5.86,578,86.92,36,5.41,328,49.32,337,50.68,0,0,0,0,81,12.39,185,28.29,12,1.83,N<10,,17,14.2,25,64.1
2016-17,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,16134,211,1.31,1366,8.47,575,3.56,1941,12.03,1168,7.24,4601,28.52,6649,41.21,1564,9.69,8203,50.84,7931,49.16,22,0.14,2936,18.14,1959,12.11,8436,52.13,382,2.36,108,0.67,17,13.8,634,67.3
2016-17,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3883,21,0.54,124,3.19,3,0.08,127,3.27,20,0.52,289,7.44,3101,79.86,325,8.37,2028,52.23,1855,47.77,0,0,42,1.08,490,12.6,265,6.82,278,7.15,N<10,,16,14.5,193,80.75
2016-17,Educational Service District 112,06,Clark,06119,Battle Ground School District,13452,45,0.33,287,2.13,50,0.37,337,2.51,80,0.59,1184,8.8,11159,82.95,647,4.81,6947,51.64,6505,48.36,7,0.05,830,6.15,1839,13.62,4289,31.78,395,2.93,97,0.72,17,13.4,573,71.63
2016-17,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,20431,19,0.09,7747,37.92,41,0.2,7788,38.12,541,2.65,2390,11.7,7831,38.33,1862,9.11,10715,52.44,9716,47.56,4,0.02,2855,13.95,1778,8.69,3605,17.62,998,4.88,41,0.2,13,10.8,1107,72.45
