CaseID,State,City,Address,Latitude,Longitude,Reported Date, Reported Time (military), Reported Time
1,WA,Burien,100 SW 152ND ST ,47.46902441,-122.3631671,8/5/2017,20:01,8:01 PM
2,WA,Burien,1013 SW 152ND ST,47.46902441,-122.3631671,6/6/2017,6:13,6:13 AM
3,WA,Burien,1015 SW 150TH ST,47.4682314,-122.3479472,4/19/2017,20:58,8:58 PM
4,WA,Burien,1020 SW 156TH ST,47.4635195,-122.3480815,8/18/2017,0:06,12:06 AM
5,WA,Burien,1020 SW 156TH ST,47.4635195,-122.3480815,7/13/2017,13:15,1:15 PM
6,WA,Burien,1024 SW 146TH ST,47.4724795,-122.348275,7/7/2017,8:13,8:13 AM
7,WA,Burien,1026 SW 164TH ST,47.4562515,-122.3483399,11/4/2017,10:17,10:17 AM
8,WA,Burien,1033 SW 152ND ST,47.4657258,-122.3482257,2/23/2017,19:24,7:24 PM
9,WA,Burien,1035 SW 152ND ST,47.4659136,-122.3498025,4/18/2017,19:10,7:10 PM
10,WA,Burien,105 S 156TH ST,47.4629969,-122.3333369,1/28/2017,20:35,8:35 PM
11,WA,Burien,1050 SW 151ST ST,47.4679784,-122.3492348,10/14/2017,2:19,2:19 AM
12,WA,Burien,1050 SW 151ST ST,47.4679784,-122.3492348,10/22/2017,4:47,4:47 AM
13,WA,Burien,1050 SW 151ST ST,47.4679784,-122.3492348,12/23/2017,1:57,1:57 AM
14,WA,Burien,110 SW 148TH ST,47.470817,-122.3348023,6/19/2017,10:46,10:46 AM
15,WA,Burien,110 SW 148TH ST,47.470817,-122.3348023,8/11/2017,12:43,12:43 PM
16,WA,Burien,110 SW 148TH ST,47.470817,-122.3348023,9/1/2017,15:42,3:42 PM
17,WA,Burien,1105 SW 166TH ST,47.4540209,-122.3492015,2/5/2017,4:16,4:16 AM
18,WA,Burien,1105 SW 166TH ST,47.4540209,-122.3492015,5/29/2017,1:53,1:53 AM
19,WA,Burien,1123 SW 144TH ST,47.4737775,-122.349633,8/26/2017,22:25,10:25 PM
20,WA,Burien,113 SW 154TH ST,47.4647902,-122.3345172,8/23/2017,21:11,9:11 PM
21,WA,Burien,116 SW 148TH ST,47.4714208,-122.3347499,5/22/2017,13:02,1:02 PM
22,WA,Burien,116 SW 148TH ST,47.4714208,-122.3347499,6/25/2017,19:27,7:27 PM
23,WA,Burien,116 SW 148TH ST,47.4714208,-122.3347499,9/12/2017,10:03,10:03 AM
24,WA,Burien,117 SW 152ND ST,47.466633,-122.3347422,7/29/2017,13:06,1:06 PM
25,WA,Burien,117 SW 160TH ST,47.459347,-122.3351972,2/19/2017,18:15,6:15 PM
26,WA,Burien,117 SW 160TH ST,47.459347,-122.3351972,3/26/2017,15:10,3:10 PM
27,WA,Burien,119 SW 148TH ST,47.4701286,-122.3347574,3/17/2017,22:29,10:29 PM
28,WA,Burien,119 SW 152ND ST,47.4666335,-122.334807,7/26/2017,0:43,12:43 AM
29,WA,Burien,120 SW 153RD ST,47.4662444,-122.3346278,12/29/2017,14:21,2:21 PM
30,WA,Burien,120 SW 160TH ST,47.4598955,-122.3351572,5/17/2017,16:39,4:39 PM
31,WA,Burien,1203 SW 157TH ST,47.4622399,-122.3500632,4/12/2017,1:10,1:10 AM
32,WA,Burien,1203 SW 157TH ST,47.4622399,-122.3500632,9/5/2017,1:06,1:06 AM
33,WA,Burien,1224 SW 151ST ST,47.4678932,-122.350992,11/23/2017,3:39,3:39 AM
34,WA,Burien,125 SW 148TH ST,47.4699935,-122.3351329,8/4/2017,12:52,12:52 PM
35,WA,Burien,125 SW 152ND ST,47.4666326,-122.3350222,12/22/2017,12:37,12:37 PM
36,WA,Burien,125 SW 156TH ST,47.4627427,-122.3322567,5/1/2017,13:07,1:07 PM
37,WA,Burien,126 SW 148TH ST,47.4720371,-122.335954,9/11/2017,15:06,3:06 PM
38,WA,Burien,126 SW 148TH ST,47.4720371,-122.335954,12/13/2017,19:03,7:03 PM
39,WA,Burien,126 SW 155TH ST,47.4644631,-122.335085,10/3/2017,23:54,11:54 PM
40,WA,Burien,126 SW 155TH ST ,47.4644631,-122.335085,12/9/2017,3:03,3:03 AM
41,WA,Burien,127 SW 153RD ST,47.4656907,-122.3350423,3/25/2017,22:59,10:59 PM
42,WA,Burien,127 SW 153RD ST,47.4656907,-122.3350423,3/26/2017,0:28,12:28 AM
43,WA,Burien,127 SW 153RD ST,47.4656907,-122.3350423,6/10/2017,22:39,10:39 PM
44,WA,Burien,127 SW 154TH ST,47.4648252,-122.3352042,4/15/2017,23:53,11:53 PM
45,WA,Burien,131 SW 157TH ST,47.4619095,-122.3351602,4/10/2017,16:41,4:41 PM
46,WA,Burien,131 SW 157TH ST,47.4619095,-122.3351602,5/12/2017,18:34,6:34 PM
47,WA,Burien,131 SW 157TH ST,47.4619095,-122.3351602,5/27/2017,21:22,9:22 PM
48,WA,Burien,131 SW 157TH ST,47.4619095,-122.3351602,7/20/2017,16:18,4:18 PM
49,WA,Burien,131 SW 157TH ST,47.4619095,-122.3351602,8/28/2017,14:17,2:17 PM
50,WA,Burien,137 SW 153RD ST,47.4656635,-122.3354217,11/17/2017,17:19,5:19 PM
